"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLIN4",91672.8683243735,-7.93708858854509,1.0918184536969,-6.35370153806808,2.10194483068855e-10,9.18050399432762e-08
"MAP1LC3C",296.866511724756,-5.65844862839845,0.733380133542366,-6.35202457134645,2.12499369118167e-10,9.18050399432762e-08
"ITIH5",13892.67492691,-4.92917827508268,0.6200726848262,-6.33664144741998,2.34827600380925e-10,9.89769698093356e-08
"TIMP4",6425.16880284052,-7.7260740882565,1.07469615083542,-6.25858209599796,3.88493371214074e-10,1.59846522570248e-07
"KIAA1199",890.68376793482,5.86991323964673,0.783473209009616,6.21580059617196,5.10636169889499e-10,2.05216363996754e-07
"G0S2",8479.85930157702,-6.47284681508998,0.881497095319912,-6.20858179130332,5.346489405448e-10,2.0998337139897e-07
"CPA1",89.1090541511921,-8.84048262151979,1.26741123717099,-6.18621832564832,6.16246451062909e-10,2.36652331573736e-07
"FAM107A",2431.42768510289,-4.36318180079871,0.546092780833543,-6.15862710300844,7.33782789483772e-10,2.75663051849328e-07
"HSD17B6",155.515902218699,3.65761332167139,0.432595685038629,6.14341153549435,8.07676633994535e-10,2.9696723217148e-07
"PTPRN",107.099154181195,6.62954989547922,0.920207327849205,6.11769731136258,9.49371752763628e-10,3.41793609573088e-07
"C12orf39",542.212457025271,-11.0451784248928,1.64357573844704,-6.11178310187529,9.85240324205472e-10,3.47468123318261e-07
"FMO2",8609.53849817211,-5.27178949401483,0.700654236258814,-6.09685815477875,1.08173424171516e-09,3.73868988621593e-07
"CD36",87850.5157676665,-6.28737852460382,0.867889884377819,-6.09222278053659,1.11353569612654e-09,3.77313928720838e-07
"SLC4A4",962.814312160039,-5.66047885638602,0.770630272721656,-6.0476197488667,1.47001400124641e-09,4.88525229914217e-07
"PLIN1",58744.3741693506,-7.99096483813158,1.1571451919644,-6.04156236112732,1.52628993299787e-09,4.97656911927097e-07
"CIDEA",4806.82629384398,-8.80162642844654,1.2927826777371,-6.03475476798824,1.59204272645276e-09,5.09483154737594e-07
"ITGA7",7425.24741101504,-5.07164915112153,0.676463140592796,-6.0190258815188,1.75469815151195e-09,5.51326159205054e-07
"ABCA10",599.033729609813,-4.72743567615929,0.621770548111871,-5.99487332984553,2.03644115089635e-09,6.28423920154284e-07
"ADH1A",1129.85774853476,-8.59998323771456,1.26915279139963,-5.98823348080358,2.12132397078691e-09,6.43133325248572e-07
"GPD1",33990.4928300953,-8.21069143233907,1.21060262889016,-5.95628264821263,2.58039899073823e-09,7.6882543032668e-07
"KCNIP2",9244.49758724763,-7.24059674405949,1.0540774042807,-5.92043498771144,3.21091207608982e-09,9.4047070486285e-07
"MYOM1",1122.55085079275,-5.10542203863476,0.695592602555486,-5.90204959562847,3.59013196374126e-09,1.02399134302528e-06
"CRHBP",297.38247177635,-6.39848124897591,0.914852563631783,-5.90093033957845,3.61457507809400e-09,1.02399134302528e-06
"CD300LG",3567.45785280873,-7.2000547070556,1.05556517166667,-5.87368252901532,4.26219252510391e-09,1.18798304881162e-06
"KLB",2421.84907538493,-6.89300254656726,1.00748648515213,-5.8492125040044,4.93905759505232e-09,1.35479133809681e-06
"GCOM1",2883.39715773003,-4.49396194651137,0.599068190335826,-5.832327609571,5.46594653941778e-09,1.47589097105748e-06
"ST6GALNAC1",132.224438195096,-4.09381081397096,0.538870949244013,-5.74128335979384,9.39617103203931e-09,2.49808048622571e-06
"TNNT1",705.759059135233,7.73090649294866,1.17301016400943,5.7381484828247,9.57171825178496e-09,2.50619489559236e-06
"ACVR1C",6948.77791672572,-7.2071980811636,1.08277323212598,-5.73268519852125,9.88530032161135e-09,2.53375568939462e-06
"APOB",786.311864964263,-6.93796679592045,1.03607113085277,-5.73123467983613,9.97022087140989e-09,2.53375568939462e-06
"GLYAT",941.518621325034,-8.6135862714678,1.33091634606037,-5.72055959339944,1.06173779547032e-08,2.63336617002769e-06
"LOC283392",1201.11081204521,-8.99908329896077,1.39849783464068,-5.71976809747154,1.06669539900433e-08,2.63336617002769e-06
"ALDH1L1",3170.19778416206,-6.67579532642951,1.00240223498901,-5.6621934073119,1.49450240598227e-08,3.63753465884219e-06
"PPARG",5247.58362984949,-5.12279708540384,0.732714703266931,-5.62674266944782,1.83644370886948e-08,4.40771996291298e-06
"FRMD1",205.549084312898,-7.16844505162959,1.10099144275739,-5.60262760642439,2.11126497963209e-08,4.99791371411263e-06
"TNXB",18001.1121141055,-5.37369296346517,0.782273316178827,-5.59100364669137,2.25760839052238e-08,5.27212575629963e-06
"LGALS12",3922.71996114919,-8.15193367434535,1.28803995072815,-5.55257130829073,2.81497824828351e-08,6.4860852144783e-06
"NPR1",4449.77702968057,-4.64969316698358,0.65868687892172,-5.54086210576743,3.00986164005842e-08,6.84387092129599e-06
"ANO3",369.064260395201,-6.57970786366352,1.00771687766582,-5.53697966892034,3.07732257868804e-08,6.90639110159844e-06
"EPB42",110.708339990474,-8.17236481875266,1.29676933752326,-5.53094880578481,3.18503278403725e-08,7.05648096678817e-06
"ABCD2",1515.18307558519,-6.45113849071102,0.988061674819836,-5.51700225768294,3.44831006213157e-08,7.54306913717666e-06
"KCNB1",392.491205061332,-5.16800193997027,0.756792168854451,-5.50745913013256,3.64049892480237e-08,7.86393273993872e-06
"AOC3",32124.0891195427,-5.25064802771696,0.772661371473006,-5.50130779750708,3.76984423742315e-08,8.04279978603821e-06
"TMEM132C",3057.50762254388,-6.90548583522039,1.07645470572358,-5.48605139056996,4.11017370567881e-08,8.66194046437018e-06
"AOX1",2219.04674833068,-4.20812537499006,0.585046165759552,-5.48354226170345,4.168926254494e-08,8.67990537396515e-06
"SORBS1",29972.6404104702,-4.72754996152879,0.681839912415329,-5.46689903840394,4.57976728661042e-08,9.42178077141841e-06
"ASPA",331.311076963058,-5.44378088703379,0.813481486054481,-5.46266997247455,4.69026084272402e-08,9.53557619095456e-06
"PPP1R1A",7368.84387548697,-5.98107782916645,0.912342860669048,-5.4596556227926,4.7705901772275e-08,9.58611265728702e-06
"NTRK2",12113.321874927,-3.92239657800296,0.536526785177286,-5.44687918430261,5.12612560144692e-08,1.01581587723217e-05
"SLC19A3",9691.6697862441,-7.01663093323846,1.1049289873785,-5.44526481064926,5.17283705783408e-08,1.01581587723217e-05
"LEPR",3703.20516550399,-3.74194192503027,0.504175629596863,-5.43846581244461,5.37413190765977e-08,1.0434873426547e-05
"C14orf139",2097.48116298533,-4.71133212712474,0.684415632939151,-5.42262909920221,5.87287700259628e-08,1.12348951788315e-05
"MYOCD",100.871950429961,-4.52839406018482,0.650837170044568,-5.42131614877374,5.91618228848834e-08,1.12348951788315e-05
"MAPK8IP2",1638.01868621219,4.45281150895076,0.639062214844195,5.40293484538523,6.55592780383576e-08,1.23144552584876e-05
"GPLD1",245.321454235089,-4.44410613087699,0.638181741450817,-5.39674814739653,6.78595365664499e-08,1.26094693699443e-05
"HSPB6",17235.1777135703,-5.43622284075075,0.823097166948114,-5.38967089049694,7.05868301397471e-08,1.29767128898401e-05
"GPAM",33944.3562521231,-5.66884537410544,0.86847121813401,-5.37593564025862,7.61860044099687e-08,1.38586351811439e-05
"CLEC3B",4653.37686450063,-5.16683528495628,0.782996363352786,-5.32165343286387,1.02828329695377e-07,1.85101704736022e-05
"PTCHD3",100.409826945295,-9.60029598743223,1.61986205621864,-5.30927677107799,1.10061092614592e-07,1.96078942419872e-05
"RDH5",2461.25333711952,-5.75159171354184,0.896116683337312,-5.30242523311361,1.14274273987165e-07,2.00006013815371e-05
"ADAMTS5",3809.19365464278,-3.10407906149933,0.396850983178376,-5.30193737873037,1.14580147952791e-07,2.00006013815371e-05
"MAOA",12054.2436044498,-5.28266433489656,0.810936115974622,-5.28113651683826,1.28384980317046e-07,2.21862084485887e-05
"PDE2A",2744.84041536621,-4.13845222578208,0.595180262264286,-5.27311207169782,1.34129597956332e-07,2.29494414087463e-05
"PYGM",597.551206118831,-6.05479861545787,0.960251290237781,-5.26403730653273,1.40925833708422e-07,2.38758758070121e-05
"MYBL2",2975.66540597878,5.85915418489728,0.927032283356511,5.24162348187456,1.59169904443229e-07,2.67050011522665e-05
"FABP4",101855.522947024,-7.31285643726622,1.20518529175031,-5.23807955546649,1.62256122305448e-07,2.69610389380813e-05
"HEPN1",428.686637811684,-6.90443996025395,1.12844828764161,-5.23235315691241,1.67365598773396e-07,2.75451896419339e-05
"ADRA1A",134.885667454895,-5.99259793861809,0.963551750403451,-5.18145282443587,2.20164276397543e-07,3.56979334417621e-05
"PFKFB1",723.157904650991,-6.31519949570002,1.02595808110783,-5.18071799771843,2.21033440094239e-07,3.56979334417621e-05
"GRM4",47.4358219195436,4.58515841459667,0.693018748805582,5.17324880571513,2.30058340213355e-07,3.68114646039536e-05
"DPP6",84.1924650618496,-5.07286109856332,0.788150405227094,-5.16761911375252,2.37094863864159e-07,3.7589324242537e-05
"TUSC5",10954.1613489752,-7.83488861202445,1.32444055052848,-5.16058543306998,2.46178786495241e-07,3.86746873584024e-05
"GPR146",1656.11078940925,-4.35746832587257,0.651322749565529,-5.15484577824465,2.53839754037866e-07,3.95189620678231e-05
"FHL5",342.806687742475,-3.6741473234929,0.51930308626099,-5.14949245294671,2.6119228298772e-07,4.0300570020632e-05
"PDE8B",696.816155096766,-4.32349289798509,0.64592459905487,-5.14532640937981,2.67056051673866e-07,4.0550569109463e-05
"CNTFR",1909.83744468076,-6.65284748666576,1.09870472027609,-5.14501064967232,2.67505635002533e-07,4.0550569109463e-05
"PCDH9",568.61622930695,-4.85808471142692,0.753893026125021,-5.11754927785619,3.09531206996348e-07,4.65131198965556e-05
"CHRDL1",15113.8879146661,-5.239662222166,0.833208030486981,-5.0883597697541,3.61173700936838e-07,5.38055407404267e-05
"NMUR1",285.209489760405,-5.04628916648051,0.796102896698249,-5.08262083112881,3.72262348140391e-07,5.49834669932829e-05
"APLP1",461.212816450921,4.01292489122335,0.593480686268521,5.07670251270848,3.84041443853743e-07,5.624254399353e-05
"INHBA",985.39360388551,4.40324418362487,0.671537474402304,5.06783956718707,4.02356300107659e-07,5.83970962188772e-05
"GLDN",1244.78662260015,-5.21987137384595,0.832941852502429,-5.06622564488515,4.05780882710832e-07,5.83970962188772e-05
"TMEM145",57.285103932839,5.08676199453465,0.806899630421634,5.06477118151506,4.08891189311043e-07,5.83970962188772e-05
"ENPP2",7896.81225152121,-3.62036708623063,0.517560232551056,-5.06292199714578,4.12878815989974e-07,5.84832690092027e-05
"NAALAD2",439.984872743271,-4.5601390913377,0.705671487491134,-5.04503746352999,4.53432515359853e-07,6.37054251864522e-05
"UBE2C",2664.10452900735,6.49501894107316,1.09218806727514,5.03120213973997,4.87413908450767e-07,6.79274173543363e-05
"KREMEN2",144.05743383769,6.25534010676484,1.04489474192557,5.02954019758976,4.91657423062133e-07,6.79706554234937e-05
"CDH20",63.8284445148718,-7.47228771475667,1.28759744622737,-5.02663913610602,4.99150365507284e-07,6.84588687804077e-05
"CKMT2",315.620655840062,-4.4897749414361,0.696610561882886,-5.00964977045926,5.45291771745107e-07,7.41983236813165e-05
"GYG2",16229.7439068974,-5.46889443504288,0.893277207455163,-5.00280808437306,5.65011829999298e-07,7.62810112048271e-05
"HRASLS5",3023.96626073891,-5.41335505829277,0.883143417878321,-4.9973254275002,5.81309225304624e-07,7.78729048254977e-05
"SEMA3G",7849.34909328262,-4.76158320146896,0.754265920610156,-4.98707829518012,6.12992281907841e-07,8.14855355665338e-05
"SLC14A2",88.6739283430557,-4.91214031393191,0.785119601750139,-4.98285905129768,6.2651588446655e-07,8.26474885455454e-05
"AKR1C1",6314.65575923953,-4.89503109992027,0.783147376553437,-4.97356080928467,6.57341412345569e-07,8.54399477390071e-05
"ADH1C",639.461889115021,-5.74549508354831,0.954157452318223,-4.97349265786129,6.57572654897746e-07,8.54399477390071e-05
"ABCA8",5454.48669209982,-5.23732281697059,0.852811546400687,-4.96865085241203,6.74203395844387e-07,8.69470812207975e-05
"ALG1L",90.0328762712346,4.19259910841108,0.643064371868248,4.96466488904658,6.8819795611035e-07,8.80944361447627e-05
"PAPPA2",218.154168545495,-5.841129591968,0.979397244076584,-4.94296836268149,7.69419738340834e-07,9.77672242519702e-05
"ABCA9",2827.57505228602,-4.94633268990117,0.798831421188546,-4.94013202939564,7.80696904717703e-07,9.84760818279316e-05
"TMC2",51.3569197472661,-4.96823173049963,0.804008209044537,-4.93556121176347,7.99206088647887e-07,0.000100080292883508
"COL22A1",870.714078846153,7.05722826944558,1.22911336617041,4.92812822328854,8.30211282434335e-07,0.000103214972458617
"PKHD1L1",107.443851788913,-4.5049962378751,0.715942245912395,-4.89564103513454,9.79857872628034e-07,0.000120949456406322
"FAM83D",820.935255884436,5.02834152568265,0.825985301308839,4.87701357312222,1.07704026969891e-06,0.000132002360997638
"EPYC",135.935250885001,7.12788601481735,1.25780330439032,4.87189530622808,1.10532739856862e-06,0.000134128478139602
"LOC55908",101.853483560511,-6.26863146965089,1.08161512675063,-4.87107783475518,1.10991102216093e-06,0.000134128478139602
"TNMD",402.84543168172,-5.70622999357025,0.966513002211272,-4.86928782417094,1.12001170849098e-06,0.000134372978253659
"AADAC",281.149950935192,-6.78436821381722,1.18824979081567,-4.86797326498711,1.12748578477985e-06,0.000134372978253659
"TPX2",3934.23278403185,4.90131001422403,0.8055914715042,4.84278961759552,1.28028825879745e-06,0.000151538776714237
"COL6A6",920.065194866456,-4.88268451607125,0.804551030753546,-4.82590210894978,1.39370956616681e-06,0.000163841462672984
"HIF3A",592.355616639542,-5.08519452654664,0.846776806753904,-4.82440531432022,1.40421605471123e-06,0.000163961200280168
"TMEM215",58.6881366479424,8.01439658321502,1.45901554069762,4.80762293995931,1.52735493125845e-06,0.00017714241991327
"TNNI3",51.9516908440539,7.89221445031679,1.43795335192543,4.79307234903556,1.64246358603502e-06,0.000189222754868474
"ADH1B",121455.243509556,-7.89878996368322,1.4401177967014,-4.79043449048749,1.66420551456248e-06,0.000190457850974532
"TRHDE",313.602676329245,-6.44656349097799,1.14368132175126,-4.76230868458879,1.91390616832885e-06,0.000217593503255861
"RPLP0P2",155.500127358575,3.71470696813848,0.570616415692496,4.75749889677453,1.96006327786688e-06,0.000221384663430181
"TFR2",115.28547188996,4.76783901726041,0.793205260365085,4.75014375916545,2.03272090321986e-06,0.000228100324211314
"MMP1",451.312627309509,6.85632779340119,1.23370064928395,4.74696012910447,2.06496637414287e-06,0.000230223767171374
"RGS4",1289.8451780186,4.37742106128812,0.711860160872407,4.74450074175942,2.09021213408855e-06,0.000231544589033232
"CDCA2",696.626225758848,5.41392886553717,0.931112499508578,4.74048932633463,2.13202684417166e-06,0.000234672330535863
"TGFBR3",9738.91777337112,-4.00623073427675,0.634539923811537,-4.73765419868148,2.1620633280124e-06,0.000235674293528916
"MAST1",112.96401173616,5.4503413507604,0.939473208575939,4.73706041868535,2.16840533945359e-06,0.000235674293528916
"PDE3B",6275.0012826578,-5.91199962716677,1.03961425831791,-4.72482902948481,2.30309038120754e-06,0.000248748155485297
"ZNF695",202.050972013713,5.29162814675288,0.909488487495268,4.71872729095453,2.37324709292647e-06,0.000254733434862499
"FGFBP2",523.88371882475,-5.37653625889384,0.929447078374595,-4.70875250535777,2.49237475715527e-06,0.000265386025723104
"TRDN",121.564169413205,-6.28522502891535,1.12263654583392,-4.70786831991949,2.50320711723083e-06,0.000265386025723104
"NUF2",1156.22081496461,5.8146654760135,1.02429849282649,4.70045158684918,2.59586795046105e-06,0.000273531671048276
"PRRT4",440.691300217335,-5.37933719216517,0.932609121775596,-4.69579064788402,2.65577440085124e-06,0.000278148105582487
"FZD4",19675.1644977309,-4.24922736000445,0.692327976401172,-4.69319090193991,2.68976272432896e-06,0.000278783789576465
"SLC7A10",1540.28836749443,-7.78813381702996,1.44648097850312,-4.69286075510968,2.69410872398991e-06,0.000278783789576465
"PNCK",99.3758555090555,4.57550573366334,0.762997981692628,4.68612738100757,2.78423014856087e-06,0.000286363974378262
"ANGPTL5",74.9640133689252,-6.33324685186801,1.13838253895101,-4.68493381564203,2.80050411839166e-06,0.000286363974378262
"ANLN",2318.91697967984,4.78031937720421,0.811117233105291,4.66063254843149,3.15239072095088e-06,0.000320449788522071
"XIRP1",48.0048506269497,3.95100315244526,0.635213275959551,4.64568872240191,3.38943753526022e-06,0.000341781118264363
"ZNF676",76.2961429563809,-3.56483597569484,0.552178769029476,-4.64493768965957,3.40179111981196e-06,0.000341781118264363
"SYNGR3",98.1091890166674,4.36989942106575,0.725847769171766,4.64270824295706,3.43871767822642e-06,0.000343494105187462
"TLX1",318.593961697891,7.46511793648998,1.39458167785521,4.63588331838187,3.55416422864313e-06,0.000352985701351621
"THRSP",5949.74539819535,-5.4420153105122,0.9619991637393,-4.61748354670709,3.88421467256138e-06,0.000383560650037333
"CILP2",611.48707060857,4.23159578872484,0.703431999676524,4.59404148547536,4.34742892233429e-06,0.000426863177311699
"E2F7",131.680970495004,3.93596466662575,0.63935770125043,4.59205333866115,4.38906150950422e-06,0.000428004763608875
"MELK",1346.27162641355,5.51874899974448,0.984235249674303,4.59112697014234,4.40859023912851e-06,0.000428004763608875
"PKMYT1",729.955896047097,5.72966304730727,1.03190299608291,4.58343765379207,4.57393304928616e-06,0.00044157618449561
"DPT",14240.1400023798,-4.69518470392801,0.806577957666698,-4.58131129025344,4.62069446132521e-06,0.000443612338812005
"CCDC141",69.6273217013209,-3.98191749375744,0.652944865994673,-4.56687486042929,4.95049344493254e-06,0.000472649045424747
"CHL1",2994.13452232077,-4.59250811519911,0.78791725856136,-4.55949920650118,5.12757506413639e-06,0.000486866069688687
"GFRA2",166.988573585547,-4.05520753569222,0.670849093496911,-4.55423964243054,5.25753947600118e-06,0.000496478358933204
"PRKAR2B",19180.0417264491,-4.34904865669892,0.737108434017134,-4.54349523372984,5.53290570076248e-06,0.000519642083776502
"FIGF",1224.12644016094,-5.6591970538727,1.02615064120447,-4.54046108513256,5.61313387810696e-06,0.000524327386743602
"ADIPOQ",136397.929705801,-7.66862385723091,1.47046139558057,-4.53505537600188,5.75883739063498e-06,0.000535045531976146
"ODZ1",179.249553982443,-4.1279274861324,0.690480908223433,-4.53007092430748,5.89638890384328e-06,0.000542924711667497
"GLP2R",27.2796121823226,-7.71526878943439,1.4824942884345,-4.52970972085542,5.90647796964813e-06,0.000542924711667497
"EBF1",3926.03822905075,-3.78646658334038,0.615973144686802,-4.52368192895356,6.077303359984e-06,0.000555671319385627
"GPBAR1",183.307036880499,-4.53083391804034,0.78161290700548,-4.51736900247424,6.26127389118594e-06,0.000565802463725053
"CCDC69",6527.49295539499,-4.15801116970562,0.699168866573952,-4.51680748483614,6.27789318447721e-06,0.000565802463725053
"PAMR1",1639.92918829283,-3.50533645889521,0.554773195562358,-4.51596522495219,6.30290079660804e-06,0.000565802463725053
"SLC22A12",31.8006418973712,-8.51839475767383,1.66504797802067,-4.51542229228214,6.31907155251058e-06,0.000565802463725053
"AKR1C3",4282.9920876188,-3.1397004466328,0.474477378588257,-4.50959422554387,6.49517411288589e-06,0.00057857270023083
"ZBTB16",797.466622797598,-5.79744194426207,1.06489332960265,-4.50509155320954,6.63443326959572e-06,0.000587946878625044
"CCL11",30.1256807248655,5.87857122868563,1.08416291693329,4.49985067049273,6.80012154208757e-06,0.000599555614126609
"PLK1",1125.3688947394,4.79163281656825,0.845628525579949,4.48380429689015,7.33239146773849e-06,0.000643203334791821
"TMEM37",3383.8459734587,-4.4033807342579,0.759310235399948,-4.4822005230382,7.38772756547645e-06,0.000644784444742417
"CNIH2",175.468420589211,5.02747934735234,0.901183360301118,4.46910087865649,7.85490809752447e-06,0.000682113903685027
"MASP1",227.441310587002,-4.1257420455075,0.702104754891642,-4.45195965948116,8.50901541432767e-06,0.000735221476874982
"C7orf58",4035.2311647403,-4.3146914134261,0.745744531365051,-4.44480820711981,8.79703108661597e-06,0.000756325841829904
"SAA2",3254.7811333726,-5.85794245153973,1.09464544582832,-4.43791409360289,9.08348560908607e-06,0.000777087697082259
"NOVA1",1038.04266173789,-4.24601848472714,0.73189702590739,-4.43507538605283,9.20400751768186e-06,0.000783519477404238
"FAM13A",7126.78542640036,-4.0801669280789,0.697535546189311,-4.41578489426967,1.00644129363986e-05,0.000852564313499527
"MAPK10",1159.25254714366,-3.67632129091487,0.607552379444821,-4.40508733314563,1.05741268492918e-05,0.000891100916434644
"ANGPT4",45.7069437086586,-5.36606243291089,0.991363465281104,-4.4040985832304,1.06224633288315e-05,0.000891100916434644
"C7orf41",12247.8467911678,-3.9177317909903,0.663955342740291,-4.39446993369791,1.11043370500763e-05,0.000924626156367691
"FOXM1",2525.68884162458,5.13177568052532,0.94052187460377,4.39306707487903,1.11762626348517e-05,0.000924626156367691
"ADHFE1",953.145354698801,-4.06825785483951,0.69845147505656,-4.392943481995,1.11826206053381e-05,0.000924626156367691
"ACACB",20934.4242554714,-5.18996150712534,0.955604407222773,-4.38461927912454,1.16188805222213e-05,0.000953051483207824
"UTS2",18.4941070352502,6.95188724677724,1.35755007776386,4.38428559230841,1.16367029082143e-05,0.000953051483207824
"MFAP2",1799.43174183865,2.84753341067351,0.421575093014905,4.38245390034983,1.17350002212313e-05,0.000956568579354236
"LRRC15",3868.02454216602,3.76801941401423,0.634277648857702,4.36405006387862,1.27676337887332e-05,0.00103585671128215
"TTK",1214.56366629849,5.41052335835842,1.01277763101329,4.35487832995056,1.33140847795906e-05,0.00107514345362666
"MMRN1",1697.20461527082,-4.29225750763819,0.756325884429979,-4.3529615677764,1.3431070267074e-05,0.00107954569900142
"GPX3",36022.7267424404,-4.73009852295486,0.857371551572202,-4.35062082024392,1.35752629295283e-05,0.00108608388280175
"BUB1",1267.38529933137,5.13328884073145,0.951452002141668,4.34419059650685,1.39790110342561e-05,0.00111323174969115
"ANGPT1",1271.08965962945,-3.73879005255591,0.630743600679226,-4.34216066497798,1.41088294997681e-05,0.00111841597516281
"MME",12493.0915325449,-3.5948005885049,0.599976111895706,-4.32483983454987,1.52642724792214e-05,0.0012044835283718
"PDE11A",596.545305380466,-4.1197258260383,0.722750836793623,-4.3164610363905,1.58550652299988e-05,0.00124541537381641
"GRIN2D",162.810985013019,3.08688339139888,0.483639872892032,4.31495314668722,1.596367573685e-05,0.00124827276202943
"MAMDC2",1594.10485145119,-3.60022558159691,0.603470885481304,-4.3087838107104,1.64154729456257e-05,0.00127781886474486
"GYS2",310.01214712176,-9.38279902730894,1.94867242937903,-4.30179998491599,1.69416209516626e-05,0.00131286166666225
"LRRN4CL",1212.75431941961,-4.27280173891734,0.764425421942216,-4.28138788294346,1.85731293690542e-05,0.00143286718136886
"GPR37L1",57.4341906221157,5.40068536733826,1.0302408609566,4.27151119132677,1.94152781929777e-05,0.00149117965534599
"BMP3",206.472552960009,-5.63390271764195,1.0860348518194,-4.26680848213934,1.98289243801608e-05,0.00151621080625468
"CMA1",155.286680594356,-5.47091239646171,1.04869505518617,-4.26331026770029,2.0142053275835e-05,0.00153336926281809
